tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	country	location_begin_lon	er_location_name	location_end_lat	location_begin_lat	location_end_lon
Laurentia	Land Section	This study	North America	Canada	272.34	Simpson Island	48.7363	48.8122	272.30
>>>>>>>>>>
tab 	er_samples
sample_dip	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	er_location_name	sample_type	magic_method_codes	sample_azimuth	sample_lon	sample_class
-37	This study	Basalt	SI9(171.4 to 188.8)	SI9-173.9	oriented core	48.7672	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	283.00	272.38	Igneous : Extrusive
-17	This study	Basalt	SI9(312.1 to 321.0)	SI9-315.30	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	313.00	272.38	Igneous : Extrusive
-23	This study	Basalt	SI9(312.1 to 321.0)	SI9-315.35	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	353.00	272.38	Igneous : Extrusive
-38	This study	Basalt	SI9(312.1 to 321.0)	SI9-315.40	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	326.00	272.38	Igneous : Extrusive
-32	This study	Basalt	SI9(312.1 to 321.0)	SI9-316.40	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	7.00	272.38	Igneous : Extrusive
-41	This study	Basalt	SI9(312.1 to 321.0)	SI9-316.80	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	44.00	272.38	Igneous : Extrusive
-26	This study	Basalt	SI9(312.1 to 321.0)	SI9-317.10	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	12.00	272.38	Igneous : Extrusive
-59	This study	Basalt	SI9(312.1 to 321.0)	SI9-317.60	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	161.00	272.38	Igneous : Extrusive
-53	This study	Basalt	SI9(312.1 to 321.0)	SI9-317.70	oriented core	48.7638	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	121.00	272.38	Igneous : Extrusive
-17	This study	Basalt	SI9(336.4 to 353.8)	SI9-337.4	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	158.00	272.38	Igneous : Extrusive
-89	This study	Basalt	SI9(336.4 to 353.8)	SI9-337.7	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	127.00	272.38	Igneous : Extrusive
-75	This study	Basalt	SI9(336.4 to 353.8)	SI9-337.8	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	118.00	272.38	Igneous : Extrusive
-76	This study	Basalt	SI9(336.4 to 353.8)	SI9-337.9	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	132.00	272.38	Igneous : Extrusive
-28	This study	Basalt	SI9(336.4 to 353.8)	SI9-338.3	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	158.00	272.38	Igneous : Extrusive
-37	This study	Basalt	SI9(336.4 to 353.8)	SI9-338.5	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	129.00	272.38	Igneous : Extrusive
-30	This study	Basalt	SI9(336.4 to 353.8)	SI9-340.2	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	196.00	272.38	Igneous : Extrusive
-21	This study	Basalt	SI9(336.4 to 353.8)	SI9-340.3	oriented core	48.7631	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	244.00	272.38	Igneous : Extrusive
-78	This study	Basalt	SI9(375.9 to 381.0)	SI9-376.9	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	127.00	272.39	Igneous : Extrusive
-80	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.0	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	135.00	272.39	Igneous : Extrusive
-83	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.3	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	158.00	272.39	Igneous : Extrusive
-79	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.4	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	156.00	272.39	Igneous : Extrusive
-84	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.5	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	54.00	272.39	Igneous : Extrusive
-82	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.6	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	161.00	272.39	Igneous : Extrusive
-81	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.7	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	162.00	272.39	Igneous : Extrusive
-91	This study	Basalt	SI9(375.9 to 381.0)	SI9-377.8	oriented core	48.7623	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	148.00	272.39	Igneous : Extrusive
-93	This study	Basalt	SI9(387.6 to 395.3)	SI9-390.20	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	252.00	272.39	Igneous : Extrusive
-84	This study	Basalt	SI9(387.6 to 395.3)	SI9-390.30	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	264.00	272.39	Igneous : Extrusive
-66	This study	Basalt	SI9(387.6 to 395.3)	SI9-390.90	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	202.00	272.39	Igneous : Extrusive
-61	This study	Basalt	SI9(387.6 to 395.3)	SI9-391.00	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	116.00	272.39	Igneous : Extrusive
-65	This study	Basalt	SI9(387.6 to 395.3)	SI9-391.10	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	209.00	272.39	Igneous : Extrusive
-35	This study	Basalt	SI9(387.6 to 395.3)	SI9-391.50	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	181.00	272.39	Igneous : Extrusive
-36	This study	Basalt	SI9(387.6 to 395.3)	SI9-391.51	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	193.00	272.39	Igneous : Extrusive
-20	This study	Basalt	SI9(387.6 to 395.3)	SI9-392.30	oriented core	48.762	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	57.00	272.39	Igneous : Extrusive
-14	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.10	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	355.00	272.39	Igneous : Extrusive
-15	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.11	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	351.00	272.39	Igneous : Extrusive
-68	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.50	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	244.00	272.39	Igneous : Extrusive
-64	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.51	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	247.00	272.39	Igneous : Extrusive
-63	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.60	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	157.00	272.39	Igneous : Extrusive
-42	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.80	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	224.00	272.39	Igneous : Extrusive
-32	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.85	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	217.00	272.39	Igneous : Extrusive
-24	This study	Basalt	SI9(395.3 to 399.3)	SI9-396.90	oriented core	48.7617	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	219.00	272.39	Igneous : Extrusive
-45	This study	Diabase	SI9(D1-D9)	SI9-D1	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	286.00	272.38	Intrusive : Igneous
-35	This study	Diabase	SI9(D1-D9)	SI9-D2	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	349.00	272.38	Intrusive : Igneous
-37	This study	Diabase	SI9(D1-D9)	SI9-D3	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	349.00	272.38	Intrusive : Igneous
-93	This study	Diabase	SI9(D1-D9)	SI9-D4	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	273.00	272.38	Intrusive : Igneous
-41	This study	Diabase	SI9(D1-D9)	SI9-D5	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	335.00	272.38	Intrusive : Igneous
-47	This study	Diabase	SI9(D1-D9)	SI9-D6	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	12.00	272.38	Intrusive : Igneous
-77	This study	Diabase	SI9(D1-D9)	SI9-D7	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	38.00	272.38	Intrusive : Igneous
-34	This study	Diabase	SI9(D1-D9)	SI9-D8	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	251.00	272.38	Intrusive : Igneous
-36	This study	Diabase	SI9(D1-D9)	SI9-D9	oriented core	48.7718	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	11.00	272.38	Intrusive : Igneous
-46	This study	Diabase	SI9(D10 to D18)	SI9-D10	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	202.00	272.38	Intrusive : Igneous
-35	This study	Diabase	SI9(D10 to D18)	SI9-D11	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	153.00	272.38	Intrusive : Igneous
-28	This study	Diabase	SI9(D10 to D18)	SI9-D12	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	38.00	272.38	Intrusive : Igneous
-19	This study	Diabase	SI9(D10 to D18)	SI9-D13	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	52.00	272.38	Intrusive : Igneous
-46	This study	Diabase	SI9(D10 to D18)	SI9-D14	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	72.00	272.38	Intrusive : Igneous
-47	This study	Diabase	SI9(D10 to D18)	SI9-D15	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	69.00	272.38	Intrusive : Igneous
-53	This study	Diabase	SI9(D10 to D18)	SI9-D16	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	68.00	272.38	Intrusive : Igneous
-65	This study	Diabase	SI9(D10 to D18)	SI9-D17	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	153.00	272.38	Intrusive : Igneous
-80	This study	Diabase	SI9(D10 to D18)	SI9-D18	oriented core	48.7657	Simpson Island	Dike	FS-FD:SO-POM:SO-CMD-NORTH	179.00	272.38	Intrusive : Igneous
>>>>>>>>>>
>>>>>>>>>>
tab 	er_sites
er_citation_names	site_lithology	site_class	site_definition	er_site_name	site_height	site_bed_dip	er_location_name	site_type	site_bed_dip_direction	site_location_geoid
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(11.8 to 26.4)	11.8	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(28.3 to 29.2)	28.3	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(29.2 to 29.7)	29.2	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(33.3 to 37.1)	33.3	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(40.6 to 42.5)	40.6	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(42.5 to 44.4)	42.5	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(58.1 to 64.1)	58.1	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(87.6 to 88.5)	87.6	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(88.5 to 89.2)	88.5	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(89.2 to 91.5)	89.2	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(91.5 to 92.6)	91.5	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(94.3 to 94.9)	94.3	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(94.9 to 96.6)	94.9	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(116.3 to 118.8)	116.3	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(119.7 to 122.1)	119.7	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI1(122.1 to 123.7)	122.1	13	Simpson Island	Lava Flow	218.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2a(1.1 to 1.6)	442.1	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2a(10.2 to 12.8)	451.2	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2b(2.2 to 2.6)	519.2	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2b(10.5 to 10.6)	527.5	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2c(0.0 to 2.1)	592	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI2c(2.1 to 18.6)	594.1	15	Simpson Island	Lava Flow	203.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(2.3 to 5.5)	745.3	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(5.5 to 12.5)	748.5	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(12.5 to 20.1)	755.5	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(20.1 to 28.9)	763.1	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(36.9 to 48.4)	779.9	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(55.8 to 60.9)	798.8	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(103.3 to 110.3)	846.3	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI3(124.8 to 130.4)	867.8	16	Simpson Island	Lava Flow	186.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(0.0 to 9.2)	1183	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(12.0 to 21.2)	1195	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(66.9 to 84.0)	1249.9	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(84.0 to 88.9)	1267	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(139.8 to 160.0)	1322.8	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(160.0 to 166.5)	1343	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(166.5 to 171.4)	1349.5	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(171.4 to 188.8)	1354.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(312.1 to 321.0)	1495.1	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(336.4 to 353.8)	1519.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(375.9 to 381.0)	1558.9	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(387.6 to 395.3)	1570.6	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI9(395.3 to 399.3)	1578.3	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(0.0 to 13.8)	1983	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(13.8 to 20.2)	1996.8	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(21.4 to 30.0)	2004.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(39.7 to 44.7)	2022.7	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(72.3 to 74.6)	2055.3	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(74.6 to 80.0)	2057.6	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(80.2 to 100.7)	2063.2	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(106.0 to 121.4)	2089	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(121.4 to 127.3)	2104.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(133.8 to 143.1)	2116.8	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI4(160.4 to 171.1)	2143.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(0.0 to 3.9)	2336	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(3.9 to 19.3)	2339.9	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(19.3 to 45.0)	2355.3	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(47.5 to 56.7)	2383.5	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(62.9 to 84.4)	2398.9	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(84.4 to 102.6)	2420.4	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI8(106.6 to 115.4)	2442.6	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(0.0 to 3.0)	2451	18	Simpson Island	Lava Flow	187.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(12.0 to 28.4)	2463	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(40.6 to 57.8)	2491.6	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(76.5 to 94.1)	2527.5	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(94.1 to 104.2)	2545.1	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(122.3 to 127.6)	2573.3	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(180.6 to 188.8)	2631.6	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(208.4 to 219.9)	2659.4	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(245.4 to 252.7)	2696.4	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(268.4 to 289.5)	2719.4	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI6(289.8 to 301.1)	2740.8	21	Simpson Island	Lava Flow	189.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI7(0.0 to 3.9)	2798	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI7(3.9 to 5.4)	2801.9	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI7(9.6 to 18.0)	2807.6	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(3.2 to 30.7)	2843.2	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(57.2 to 63.3)	2897.2	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(64.6 to 70.4)	2904.6	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(72.6 to 79.0)	2912.6	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(115.0 to 120.2)	2955	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(132.4 to 171.9)	2972.4	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(183.4 to 188.7)	3023.4	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5b(197.5 to 216.7)	3037.5	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Lava	Extrusive : Igneous	s	SI5a(0.0 to 9.0)	3115	19	Simpson Island	Lava Flow	193.00	WGS84
This study	Basaltic Sill	Intrusive : Igneous	s	SI1(69.7 to 87.6)			Simpson Island	Sill		WGS84
This study	Basaltic Dike	Intrusive : Igneous	s	SI3(D1 to D10)			Simpson Island	Dike		WGS84
This study	Basaltic Dike	Intrusive : Igneous	s	SI8(D1-D9)			Simpson Island	Dike		WGS84
This study	Basaltic Dike	Intrusive : Igneous	s	SI9(D1-D9)			Simpson Island	Dike		WGS84
This study	Basaltic Dike	Intrusive : Igneous	s	SI9(D10 to D18)			Simpson Island	Dike		WGS84
>>>>>>>>>>
tab 	er_citations
volume	city	book_title	long_authors	publisher	journal	citation_type	book_editors	year	title	er_citation_name	pages
	London	Methods in rock magnetism and Paleomagnetism: Techniques and instrumentation	Collinson, D.W.	Chapman and Hall		Book		1983		Collinson 1983	503
73	San Diego	Paleomagnetism: continents and oceans	McElhinny, M.W. and McFadden, P.L.	Academic Press	International Geophysics Series	Serial Book	Dmowska, R., Holton, J.R. and Rossby, H.T.	2000		McElhinny & McFadden 2000	
>>>>>>>>>>
>>>>>>>>>>
tab 	pmag_specimens
er_citation_names	specimen_mad	er_site_name	er_sample_name	specimen_inc	specimen_n	er_location_name	measurement_step_unit	measurement_step_min	specimen_dec	er_specimen_name	measurement_step_max	specimen_tilt_correction	magic_method_codes
This study	2.2	SI1(11.8 to 26.4)	SI1-12.5	-80.4	6	Simpson Island	T	0.025	112.50	SI1-12.5-D	0.06	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	2.2	SI1(11.8 to 26.4)	SI1-12.5	-71.9	6	Simpson Island	T	0.025	69.20	SI1-12.5-D	0.06	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	1.3	SI1(11.8 to 26.4)	SI1-12.55	-74.8	7	Simpson Island	T	0.025	132.10	SI1-12.55-D	0.08	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	1.3	SI1(11.8 to 26.4)	SI1-12.55	-70.7	7	Simpson Island	T	0.025	90.90	SI1-12.55-D	0.08	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	7.7	SI1(11.8 to 26.4)	SI1-13.0	-75.7	7	Simpson Island	T	0.02	122.10	SI1-13.0-D	0.06	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	7.7	SI1(11.8 to 26.4)	SI1-13.0	-69.7	7	Simpson Island	T	0.02	83.40	SI1-13.0-D	0.06	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	1.3	SI1(11.8 to 26.4)	SI1-13.4	-74.8	7	Simpson Island	T	0.02	121.60	SI1-13.4-D	0.06	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	1.3	SI1(11.8 to 26.4)	SI1-13.4	-69	7	Simpson Island	T	0.02	84.80	SI1-13.4-D	0.06	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	3.5	SI1(11.8 to 26.4)	SI1-14.2	-82.3	7	Simpson Island	T	0.02	130.40	SI1-14.2-D	0.06	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	3.5	SI1(11.8 to 26.4)	SI1-14.2	-75.2	7	Simpson Island	T	0.02	69.70	SI1-14.2-D	0.06	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	0.3	SI1(11.8 to 26.4)	SI1-14.4	-74.9	8	Simpson Island	T	0.02	117.10	SI1-14.4-D	0.08	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	0.3	SI1(11.8 to 26.4)	SI1-14.4	-68.3	8	Simpson Island	T	0.02	82.00	SI1-14.4-D	0.08	100	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
This study	0.5	SI1(11.8 to 26.4)	SI1-14.9	-76.1	8	Simpson Island	T	0.02	107.50	SI1-14.9-D	0.08	0	DA-DIR-GEO:DE-BFL:LP-DIR-AF:LP-DC4
