tab 	er_locations
plate_block	location_type	er_citation_names	continent_ocean	country	location_begin_lon	er_location_name	location_end_lat	location_begin_lat	location_end_lon
Laurentia	Land Section	This study	North America	Canada	272.34	Simpson Island	48.7363	48.8122	272.30
>>>>>>>>>>
tab 	er_samples
sample_dip	er_citation_names	sample_lithology	er_site_name	er_sample_name	sample_description	sample_lat	er_location_name	sample_type	magic_method_codes	sample_azimuth	sample_lon	sample_class
-70	This study	Basalt	SI1(28.3 to 29.2)	SI1-28.85	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	276.00	272.34	Igneous : Extrusive
-87	This study	Basalt	SI1(28.3 to 29.2)	SI1-28.9	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	249.00	272.34	Igneous : Extrusive
-83	This study	Basalt	SI1(28.3 to 29.2)	SI1-29.0	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	252.00	272.34	Igneous : Extrusive
-77	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.1	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	291.00	272.34	Igneous : Extrusive
-107	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.15	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	269.00	272.34	Igneous : Extrusive
-80	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.2	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	278.00	272.34	Igneous : Extrusive
-61	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.24	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	230.00	272.34	Igneous : Extrusive
-79	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.25	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	295.00	272.34	Igneous : Extrusive
-76	This study	Basalt	SI1(29.2 to 29.7)	SI1-29.4	oriented core	48.8104	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	263.00	272.34	Igneous : Extrusive
-59	This study	Basalt	SI1(33.3 to 37.1)	SI1-33.4	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	213.00	272.34	Igneous : Extrusive
-39	This study	Basalt	SI1(33.3 to 37.1)	SI1-33.5	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	309.00	272.34	Igneous : Extrusive
-37	This study	Basalt	SI1(33.3 to 37.1)	SI1-34.2	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	218.00	272.34	Igneous : Extrusive
-89	This study	Basalt	SI1(33.3 to 37.1)	SI1-34.7	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	232.00	272.34	Igneous : Extrusive
-90	This study	Basalt	SI1(33.3 to 37.1)	SI1-34.75	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	232.00	272.34	Igneous : Extrusive
-91	This study	Basalt	SI1(33.3 to 37.1)	SI1-34.8	oriented core	48.81	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	229.00	272.34	Igneous : Extrusive
-53	This study	Basalt	SI1(40.6 to 42.5)	SI1-40.9	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	265.00	272.34	Igneous : Extrusive
-48	This study	Basalt	SI1(40.6 to 42.5)	SI1-40.95	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	268.00	272.34	Igneous : Extrusive
-44	This study	Basalt	SI1(40.6 to 42.5)	SI1-40.96	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	275.00	272.34	Igneous : Extrusive
-41	This study	Basalt	SI1(40.6 to 42.5)	SI1-41.0	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	260.00	272.34	Igneous : Extrusive
-65	This study	Basalt	SI1(40.6 to 42.5)	SI1-41.1	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	272.00	272.34	Igneous : Extrusive
-79	This study	Basalt	SI1(40.6 to 42.5)	SI1-41.15	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	205.00	272.34	Igneous : Extrusive
-41	This study	Basalt	SI1(40.6 to 42.5)	SI1-41	oriented core	48.8096	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	259.80	272.34	Igneous : Extrusive
-70	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.19	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	224.00	272.34	Igneous : Extrusive
-58	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.2	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	270.00	272.34	Igneous : Extrusive
-72	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.3	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	251.00	272.34	Igneous : Extrusive
-77	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.31	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	188.00	272.34	Igneous : Extrusive
-79	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.4	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	258.00	272.34	Igneous : Extrusive
-76	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.5	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	267.00	272.34	Igneous : Extrusive
-86	This study	Basalt	SI1(42.5 to 44.4)	SI1-43.51	oriented core	48.8095	Simpson Island	Lava Flow	FS-FD:SO-POM:SO-CMD-NORTH	228.00	272.34	Igneous : Extrusive
